Totoaba_Age,Weight_Totoaba_kg,Length_Totoaba,Weight_Buche_g,Target_Buche_Weight_kg,Gamma,Cage_Capacity_kg,Number_Individuals,Cost_feed_kgyear
1,0.029450244,15.37612146,0.572961944,500,0.001145924,144000,4889602.983,288000
1.5,0.438020729,35.31415876,8.521804092,500,0.017043608,144000,328751.565,432000
2,1.646703787,53.0990329,32.03703879,500,0.064074078,144000,87447.42143,576000
2.5,3.847886708,68.96326987,74.86160942,500,0.149723219,144000,37423.13923,720000
3,7.053363115,83.11428453,137.2249639,500,0.274449928,144000,20415.79281,864000
3.5,11.1624906,95.73709244,217.1690788,500,0.434338158,144000,12900.3468,1008000
4,16.01574754,106.9967288,311.5904203,500,0.623180841,144000,8991.150721,1152000
4.5,21.43174897,117.0404063,416.9600984,500,0.833920197,144000,6719.003671,1296000
5,27.23076702,125.9994396,529.7814617,500,1.059562923,144000,5288.136023,1440000
5.5,33.24836585,133.9909624,646.8553694,500,1.293710739,144000,4331.039928,1584000
6,39.34223533,141.1194588,765.413142,500,1.530826284,144000,3660.188568,1728000
6.5,45.39458327,147.4781294,883.1631023,500,1.766326205,144000,3172.184645,1872000
7,51.31178928,153.1501097,998.2838424,500,1.996567685,144000,2806.37261,2016000
7.5,57.02249986,158.2095574,1109.387162,500,2.218774323,144000,2525.318959,2160000
8,62.47495154,162.7226216,1215.465988,500,2.430931977,144000,2304.923757,2304000
8.5,67.63402709,166.7483076,1315.837108,500,2.631674217,144000,2129.10581,2448000
9,72.47835286,170.3392487,1410.084692,500,2.820169384,144000,1986.800118,2592000
9.5,76.99761161,173.5423943,1498.008014,500,2.996016029,144000,1870.18788,2736000
10,81.19015715,176.3996235,1579.575049,500,3.159150097,144000,1773.614008,2880000